#############################################################
#                                                           #
#    #    ##   #  #   #                           #         #
#   # #  #  #  #  #  # #                          #         #
#  ##### #  #  #  # #####  ##  ###  #  #  ## ###  ###       #
#  #   # #  #  #  # #   # #  # #  # #  # #   #  # #  #      #
#  #   # #  #  #  # #   # #  # #  # #  #   # #  # #  #      #
#  #   #  ## #  ##  #   #  ### ###   ### ##  ###  #  #      #
#                            # #             #              #
#                          ##  #             #              #
#                                                           #
#############################################################
1.7349999999999999 0.005, 0.0 0.0, -0.00566588920350262 -8.097672635290837e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.7449999999999999 0.005, 0.0 0.0, -0.00550115329773342 -8.373208367443627e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.755 0.005, 0.0 0.0, -0.005330988417821641 -8.640480753847455e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.765 0.005, 0.0 0.0, -0.005155562495959508 -8.899226028925111e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.775 0.005, 0.0 0.0, -0.004975048656352466 -9.149188842328796e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.785 0.005, 0.0 0.0, -0.0047896250443665075 -9.390122510940061e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.795 0.005, 0.0 0.0, -0.004599474650720192 -9.621789262316263e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.805 0.005, 0.0 0.0, -0.004404785130894927 -9.843960469343246e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.815 0.005, 0.0 0.0, -0.004205748619941621 -0.0001005641687586274, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.825 0.005, 0.0 0.0, -0.004002561542866619 -0.00010258948813051679, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.835 0.005, 0.0 0.0, -0.003795424420783911 -0.00010451356406340045, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
